Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"50.0826,8.2493","07/09/2020 00:00:00",15.3,15.3,15.3,15.1,98.55,,1.3,,200.0,,0.0,,0.0,10.0,0.0,1017.7,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","07/09/2020 01:00:00",15.4,15.4,15.4,15.1,98.39,,1.3,,204.0,,0.0,,0.0,10.0,0.0,1017.3,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","07/09/2020 02:00:00",15.5,15.5,15.5,15.4,99.47,,5.6,,202.0,,0.0,,0.0,10.5,0.0,1017.1,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","07/09/2020 03:00:00",15.6,15.6,15.6,15.5,99.36,,1.6,,224.0,,0.01,,0.0,9.6,0.0,1016.7,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Rain"
"50.0826,8.2493","07/09/2020 04:00:00",15.4,15.4,15.4,15.2,99.03,,6.1,,189.0,,0.0,,0.0,10.0,0.0,1016.3,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","07/09/2020 05:00:00",15.5,15.5,15.5,15.3,98.53,,1.5,,229.0,,0.0,,0.0,10.9,0.0,1016.3,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","07/09/2020 06:00:00",15.5,15.5,15.5,15.2,98.52,,1.4,,240.0,,0.0,,0.0,11.3,0.0,1016.3,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","07/09/2020 07:00:00",15.7,15.7,15.7,15.4,98.28,,1.3,,255.0,,0.0,,0.0,11.8,0.0,1015.9,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","07/09/2020 08:00:00",16.3,16.3,16.3,15.8,97.02,,8.0,,214.0,,0.0,,0.0,11.8,0.0,1016.3,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","07/09/2020 09:00:00",17.5,17.5,17.5,16.1,91.2,,9.6,,231.0,,0.0,,0.0,11.8,0.0,1015.9,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
