Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"50.0826,8.2493","01/11/2020 00:00:00",4.9,4.9,4.9,1.6,79.16,,11.4,,312.0,2.3,0.0,,0.0,9.1,30.0,1030.8,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Partially cloudy"
"50.0826,8.2493","01/11/2020 01:00:00",4.3,4.3,4.3,1.6,82.72,,9.3,,291.0,2.0,0.0,,0.0,12.6,0.0,1031.8,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","01/11/2020 02:00:00",3.7,3.7,3.7,1.3,84.24,,9.3,,322.0,1.3,0.0,,0.0,12.6,0.0,1032.5,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","01/11/2020 03:00:00",3.2,3.2,3.2,1.2,86.61,,7.9,,324.0,1.1,0.0,,0.0,11.8,30.0,1032.9,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Partially cloudy"
"50.0826,8.2493","01/11/2020 04:00:00",2.2,2.2,2.2,0.6,89.27,,1.2,,300.0,,0.0,,0.0,11.9,0.0,1033.0,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","01/11/2020 05:00:00",2.6,2.6,2.6,0.8,88.01,,1.4,,264.0,,0.0,,0.0,10.5,50.0,1033.7,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Partially cloudy"
"50.0826,8.2493","01/11/2020 06:00:00",1.3,1.3,1.3,-0.1,90.64,,5.9,,201.0,-0.5,0.0,,0.0,10.9,30.0,1034.1,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Partially cloudy"
"50.0826,8.2493","01/11/2020 07:00:00",1.0,1.0,1.0,0.1,93.98,,1.0,,27.0,,0.0,,0.0,10.6,50.0,1034.8,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Partially cloudy"
"50.0826,8.2493","01/11/2020 08:00:00",0.3,0.3,0.3,-0.3,96.07,,0.9,,249.0,,0.0,,0.0,9.8,30.0,1034.4,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Partially cloudy"
"50.0826,8.2493","01/11/2020 09:00:00",0.3,0.3,0.3,-0.2,96.36,,0.8,,240.0,,0.0,,0.0,9.9,0.0,1034.8,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","01/11/2020 10:00:00",1.6,1.6,1.6,0.4,91.66,,7.3,,282.0,-0.6,0.0,,0.0,10.0,0.0,1035.4,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","01/11/2020 11:00:00",3.6,3.6,3.6,1.0,82.85,,5.8,,225.0,2.2,0.0,,0.0,10.9,0.0,1035.4,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","01/11/2020 12:00:00",4.6,4.6,4.6,1.1,77.79,,5.8,,210.0,3.4,0.0,,0.0,12.2,0.0,1035.0,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","01/11/2020 13:00:00",5.0,5.0,5.0,1.0,74.95,,8.0,,221.0,3.2,0.0,,0.0,14.1,0.0,1034.7,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","01/11/2020 14:00:00",5.2,5.2,5.2,0.2,70.38,,9.8,,243.0,2.9,0.0,,0.0,14.9,0.0,1033.7,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","01/11/2020 15:00:00",4.5,4.5,4.5,-0.2,71.75,,11.5,,210.0,1.8,0.0,,0.0,19.0,,1033.2,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","01/11/2020 16:00:00",4.1,4.1,4.1,-0.4,72.68,,11.4,,225.0,1.3,0.0,,0.0,20.0,,1033.1,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","01/11/2020 17:00:00",3.6,3.6,3.6,-0.7,73.45,,11.6,,200.0,0.7,0.0,,0.0,24.0,,1032.8,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","01/11/2020 18:00:00",4.2,4.2,4.2,-0.1,73.58,,11.3,,217.0,1.4,0.0,,0.0,11.7,0.0,1032.8,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","01/11/2020 19:00:00",3.8,3.8,3.8,-0.4,74.05,,9.9,,226.0,1.3,0.0,,0.0,11.3,0.0,1032.4,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","01/11/2020 20:00:00",3.0,3.0,3.0,-0.3,79.1,,6.0,,234.0,1.4,0.0,,0.0,13.7,0.0,1032.6,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","01/11/2020 21:00:00",1.4,1.4,1.4,-0.8,85.45,,9.7,,199.0,-1.6,0.0,,0.0,31.3,,1032.1,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","01/11/2020 22:00:00",1.3,1.3,1.3,-0.9,85.55,,2.0,,189.0,,0.0,,0.0,12.9,0.0,1031.5,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","01/11/2020 23:00:00",0.2,0.2,0.2,-1.1,90.92,,1.7,,200.0,,0.0,,0.0,12.0,0.0,1031.2,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","01/12/2020 00:00:00",-0.4,-0.4,-0.4,-1.5,92.28,,1.5,,225.0,,0.0,,0.0,11.1,0.0,1030.8,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","01/12/2020 01:00:00",-0.8,-0.8,-0.8,-1.5,95.07,,1.2,,220.0,,0.0,,0.0,9.6,0.0,1030.1,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","01/12/2020 02:00:00",-1.1,-1.1,-1.1,-1.8,95.22,,1.4,,235.0,,0.0,,0.0,9.7,0.0,1029.8,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","01/12/2020 03:00:00",-1.1,-1.1,-1.1,-1.6,96.64,,6.1,,327.0,-3.3,0.0,,0.0,9.6,0.0,1029.5,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","01/12/2020 04:00:00",-1.6,-1.6,-1.6,-2.1,96.21,,1.5,,215.0,,0.0,,0.0,9.2,0.0,1028.8,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
