Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"50.0826,8.2493","04/15/2021 00:00:00",1.7,1.7,1.7,-1.2,81.54,,10.4,,356.0,-1.4,0.0,,0.0,12.0,0.0,1029.2,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/15/2021 01:00:00",1.5,1.5,1.5,-1.6,79.61,,9.0,,357.0,-1.2,0.0,,0.0,13.6,1.2,1028.8,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/15/2021 02:00:00",1.5,1.5,1.5,-1.7,79.26,,2.5,,40.0,,0.0,,0.0,13.1,1.1,1028.9,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/15/2021 03:00:00",0.7,0.7,0.7,-1.9,82.92,,2.1,,35.0,,0.0,,0.0,10.3,1.2,1028.6,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/15/2021 04:00:00",0.6,0.6,0.6,-2.1,82.59,,2.1,,45.0,,0.0,,0.0,11.1,0.0,1028.6,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/15/2021 05:00:00",0.3,0.3,0.3,-2.1,83.75,,2.4,,40.0,,0.0,,0.0,10.5,1.2,1028.6,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/15/2021 06:00:00",0.3,0.3,0.3,-2.1,83.76,,2.8,,40.0,,0.0,,0.0,9.2,1.2,1028.9,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/15/2021 07:00:00",0.4,0.4,0.4,-2.0,84.37,,7.0,,333.0,-2.0,0.0,,0.0,12.7,1.2,1029.0,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/15/2021 08:00:00",1.0,1.0,1.0,-1.9,81.08,,2.5,,50.0,,0.0,,0.0,12.4,1.2,1029.1,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/15/2021 09:00:00",2.3,2.3,2.3,-1.5,76.08,,7.2,,342.0,0.2,0.0,,0.0,13.1,1.1,1029.0,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/15/2021 10:00:00",5.3,5.3,5.3,0.3,70.14,,11.8,,4.0,2.6,0.0,,0.0,14.0,1.1,1027.1,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/15/2021 11:00:00",5.7,5.7,5.7,0.3,68.36,,8.5,,340.0,3.8,0.0,,0.0,16.0,0.0,1029.5,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/15/2021 12:00:00",6.1,6.1,6.1,0.1,65.55,,11.7,,39.0,3.7,0.0,,0.0,15.8,0.0,1029.3,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/15/2021 13:00:00",6.6,6.6,6.6,-0.9,58.73,,10.0,,17.0,4.6,0.0,,0.0,15.9,0.0,1028.9,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/15/2021 14:00:00",7.0,7.0,7.0,-1.9,53.24,,13.7,,65.0,4.4,0.0,,0.0,16.5,0.0,1028.6,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
