Address,Date time,Latitude,Longitude,Resolved Address,Name,Wind Direction,Temperature,Wind Speed,Cloud Cover,Heat Index,Chance Precipitation (%),Precipitation,Sea Level Pressure,Snow Depth,Snow,Relative Humidity,Wind Gust,Wind Chill,Conditions
"50.0826,8.2493","12/13/2021 16:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",84.3,6.1,3.6,86.0,,0.0,0.0,1029.0,0.0,0.0,93.3,6.8,,"Overcast"
"50.0826,8.2493","12/13/2021 17:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",71.6,5.5,2.2,90.0,,0.0,0.0,1029.0,0.0,0.0,94.8,5.0,,"Overcast"
"50.0826,8.2493","12/13/2021 18:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",45.0,5.3,0.4,91.0,,0.0,0.0,1029.0,0.0,0.0,95.6,3.2,,"Overcast"
"50.0826,8.2493","12/13/2021 19:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",326.3,5.2,1.4,93.0,,0.0,0.0,1029.0,0.0,0.0,96.1,3.2,,"Overcast"
"50.0826,8.2493","12/13/2021 20:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",338.2,4.9,1.8,94.0,,0.0,0.0,1029.0,0.0,0.0,96.5,4.3,,"Overcast"
"50.0826,8.2493","12/13/2021 21:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",45.0,4.8,0.4,93.0,,0.0,0.0,1029.0,0.0,0.0,96.1,4.0,,"Overcast"
"50.0826,8.2493","12/13/2021 22:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",143.1,4.6,1.8,92.0,,0.0,0.0,1028.0,0.0,0.0,95.9,3.2,,"Overcast"
"50.0826,8.2493","12/13/2021 23:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",243.4,4.6,0.7,91.0,,0.0,0.0,1028.0,0.0,0.0,95.5,3.2,,"Overcast"
"50.0826,8.2493","12/14/2021 00:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",194.0,4.6,1.4,96.0,,0.0,0.0,1029.0,0.0,0.0,95.5,1.1,,"Overcast"
"50.0826,8.2493","12/14/2021 01:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",153.4,4.7,1.4,96.0,,0.0,0.0,1028.0,0.0,0.0,95.5,1.8,,"Overcast"
"50.0826,8.2493","12/14/2021 02:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",306.9,4.7,1.8,100.0,,0.0,0.0,1028.0,0.0,0.0,95.3,3.6,,"Overcast"
"50.0826,8.2493","12/14/2021 03:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",200.6,4.5,3.2,99.0,,0.0,0.0,1028.0,0.0,0.0,95.1,6.1,0.6,"Overcast"
"50.0826,8.2493","12/14/2021 04:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",220.6,4.4,3.2,99.0,,0.0,0.0,1028.0,0.0,0.0,95.0,4.7,,"Overcast"
"50.0826,8.2493","12/14/2021 05:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",221.2,4.6,4.0,100.0,,0.0,0.0,1027.0,0.0,0.0,95.1,5.0,1.4,"Overcast"
"50.0826,8.2493","12/14/2021 06:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",192.5,4.7,3.2,100.0,,0.0,0.0,1027.0,0.0,0.0,95.0,5.0,1.6,"Overcast"
"50.0826,8.2493","12/14/2021 07:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",201.8,4.7,4.0,100.0,,0.0,0.0,1027.0,0.0,0.0,94.5,3.6,2.0,"Overcast"
"50.0826,8.2493","12/14/2021 08:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",204.4,4.7,4.3,100.0,,0.0,0.0,1027.0,0.0,0.0,94.3,2.9,1.5,"Overcast"
"50.0826,8.2493","12/14/2021 09:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",192.5,4.7,3.2,100.0,,0.0,0.0,1028.0,0.0,0.0,93.6,4.3,1.8,"Overcast"
"50.0826,8.2493","12/14/2021 10:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",203.2,5.0,2.9,95.0,,0.0,0.0,1028.0,0.0,0.0,90.3,2.5,,"Overcast"
"50.0826,8.2493","12/14/2021 11:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",215.5,5.9,3.2,100.0,,0.0,0.1,1028.0,0.0,0.0,85.4,4.7,,"Overcast"
"50.0826,8.2493","12/14/2021 12:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",228.8,6.6,4.0,100.0,,0.0,0.0,1028.0,0.0,0.0,81.3,7.2,,"Overcast"
"50.0826,8.2493","12/14/2021 13:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",229.4,7.0,3.2,100.0,,0.0,0.0,1027.0,0.0,0.0,78.6,6.1,,"Overcast"
"50.0826,8.2493","12/14/2021 14:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",257.5,7.4,3.2,100.0,,0.0,0.0,1028.0,0.0,0.0,80.9,6.1,,"Overcast"
"50.0826,8.2493","12/14/2021 15:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",220.6,7.4,3.2,100.0,,0.0,0.0,1027.0,0.0,0.0,85.9,4.7,,"Overcast"
"50.0826,8.2493","12/14/2021 16:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",206.6,6.8,3.2,100.0,,0.0,0.0,1028.0,0.0,0.0,90.4,6.1,,"Overcast"
"50.0826,8.2493","12/14/2021 17:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",209.1,6.1,3.6,100.0,,0.0,0.0,1028.0,0.0,0.0,89.4,4.7,,"Overcast"
"50.0826,8.2493","12/14/2021 18:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",212.0,5.7,3.2,97.0,,0.0,0.0,1028.0,0.0,0.0,89.5,5.4,,"Overcast"
"50.0826,8.2493","12/14/2021 19:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",229.4,5.2,3.2,97.0,,0.0,0.0,1029.0,0.0,0.0,90.0,3.6,,"Overcast"
"50.0826,8.2493","12/14/2021 20:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",236.3,4.8,4.0,87.0,,0.0,0.0,1029.0,0.0,0.0,90.6,8.3,,"Overcast"
"50.0826,8.2493","12/14/2021 21:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",240.9,4.7,3.6,93.0,,0.0,0.0,1029.0,0.0,0.0,90.3,9.4,,"Overcast"
"50.0826,8.2493","12/14/2021 22:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",239.0,4.8,2.2,99.0,,0.0,0.0,1029.0,0.0,0.0,91.0,9.0,,"Overcast"
"50.0826,8.2493","12/14/2021 23:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",215.5,4.6,3.2,98.0,,0.0,0.0,1030.0,0.0,0.0,92.1,7.2,,"Overcast"
"50.0826,8.2493","12/15/2021 00:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",236.3,4.4,2.5,96.0,,0.0,0.0,1030.0,0.0,0.0,91.8,7.6,,"Overcast"
"50.0826,8.2493","12/15/2021 01:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",206.6,4.0,2.5,95.0,,0.0,0.0,1030.0,0.0,0.0,92.0,6.1,,"Overcast"
