Address,Date time,Latitude,Longitude,Resolved Address,Name,Wind Direction,Temperature,Wind Speed,Cloud Cover,Heat Index,Chance Precipitation (%),Precipitation,Sea Level Pressure,Snow Depth,Snow,Relative Humidity,Wind Gust,Wind Chill,Conditions
"50.0826,8.2493","10/14/2021 05:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",227.1,7.7,6.8,100.0,,23.7,0.1,1026.0,0.0,0.0,92.0,9.7,6.5,"Overcast"
"50.0826,8.2493","10/14/2021 06:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",216.0,7.9,5.0,100.0,,23.7,0.1,1026.0,0.0,0.0,91.5,7.2,7.3,"Overcast"
"50.0826,8.2493","10/14/2021 07:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",205.0,8.0,6.1,100.0,,23.7,0.2,1026.0,0.0,0.0,89.6,7.6,7.1,"Overcast"
"50.0826,8.2493","10/14/2021 08:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",220.6,8.3,6.5,100.0,,23.7,0.2,1026.0,0.0,0.0,87.8,8.6,7.3,"Overcast"
"50.0826,8.2493","10/14/2021 09:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",227.1,8.7,6.8,100.0,,0.0,0.1,1026.0,0.0,0.0,86.1,8.6,7.7,"Overcast"
"50.0826,8.2493","10/14/2021 10:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",221.2,9.4,7.6,96.0,,0.0,0.1,1026.0,0.0,0.0,83.5,9.0,8.4,"Overcast"
"50.0826,8.2493","10/14/2021 11:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",228.4,10.4,8.6,94.0,,0.0,0.0,1026.0,0.0,0.0,79.8,11.9,8.7,"Overcast"
"50.0826,8.2493","10/14/2021 12:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",229.9,11.3,9.0,87.0,,0.0,0.0,1025.0,0.0,0.0,77.5,14.0,9.4,"Overcast"
"50.0826,8.2493","10/14/2021 13:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",229.4,12.0,10.1,91.0,,0.0,0.0,1025.0,0.0,0.0,74.0,16.2,,"Overcast"
"50.0826,8.2493","10/14/2021 14:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",241.6,12.7,9.7,92.0,,0.0,0.0,1025.0,0.0,0.0,72.4,23.4,,"Overcast"
"50.0826,8.2493","10/14/2021 15:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",249.8,13.1,7.2,98.0,,0.0,0.0,1024.0,0.0,0.0,72.4,22.0,,"Overcast"
