Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"50.0826,8.2493","01/05/2021 00:00:00",1.1,1.1,1.1,-1.1,85.62,,8.6,,39.0,-1.6,0.0,,0.0,10.0,0.0,1013.6,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","01/05/2021 01:00:00",1.1,1.1,1.1,-1.0,85.28,,8.3,,22.0,-1.5,0.0,,0.0,10.0,0.0,1013.8,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","01/05/2021 02:00:00",1.2,1.2,1.2,-1.1,84.99,,10.1,,22.0,-1.9,0.0,,0.0,10.0,0.0,1013.8,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","01/05/2021 03:00:00",1.2,1.2,1.2,-1.0,85.53,,2.3,,25.0,,0.0,,0.0,10.0,0.0,1014.2,"Light Rain",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","01/05/2021 04:00:00",1.1,1.1,1.1,-0.7,87.93,,2.8,,24.0,,0.0,,0.0,10.0,0.0,1014.4,"Light Rain",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","01/05/2021 05:00:00",1.2,1.2,1.2,-0.5,88.97,,2.4,,30.0,,0.0,,0.0,10.5,0.0,1014.7,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","01/05/2021 06:00:00",1.3,1.3,1.3,-0.6,86.81,,2.9,,20.0,,0.0,,0.0,10.5,0.0,1014.4,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","01/05/2021 07:00:00",1.7,1.7,1.7,-0.5,85.31,,9.2,,339.0,-1.1,0.0,,0.0,10.5,0.0,1014.4,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","01/05/2021 08:00:00",1.8,1.8,1.8,-0.7,83.94,,9.1,,331.0,-1.0,0.0,,0.0,10.0,0.0,1014.2,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","01/05/2021 09:00:00",1.7,1.7,1.7,-0.6,84.63,,10.5,,12.0,-1.4,0.02,,0.0,9.6,0.0,1013.9,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Rain"
"50.0826,8.2493","01/05/2021 10:00:00",1.8,1.8,1.8,-0.6,84.37,,6.9,,31.0,-0.3,0.06,,0.0,9.4,0.0,1014.3,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Rain"
"50.0826,8.2493","01/05/2021 11:00:00",1.9,1.9,1.9,-0.4,84.94,,9.1,,31.0,-0.8,0.02,,0.0,9.6,0.0,1014.2,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Rain"
"50.0826,8.2493","01/05/2021 12:00:00",1.9,1.9,1.9,-0.5,84.36,,9.0,,37.0,-0.8,0.0,,0.0,10.0,0.0,1014.2,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","01/05/2021 13:00:00",1.9,1.9,1.9,-0.4,84.64,,2.8,,24.0,,0.0,,0.0,10.5,0.0,1014.4,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","01/05/2021 14:00:00",2.2,2.2,2.2,-0.4,83.36,,7.2,,14.0,0.0,0.0,,0.0,10.9,0.0,1014.3,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
