index,store,product,sales,date,invoice_total,invoice_totalTip,invoice_address_city,invoice_deleted_at,customerCategory_id,tableArea_id,address.company,address.city,item_product_discountable,item_product_pricePerUnit,item_retour,item_expirationDate,item_price,item_lineDiscountGross,item_invoiceDiscountGross,item_discountable,paymentMethod_id_x,productgroup_name,user_name,table_name
36,1,Cappuccino,2,2021-10-26,18.2,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495297,Warme Getränke,felix,Checkout
37,1,Cappuccino,2,2021-10-27,13.8,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495297,Warme Getränke,felix,Checkout
38,1,Cappuccino,3,2021-10-28,4.800000000000001,0.0,,,,cat_177144,,,1.0,2.7999999999999994,0.0,,2.7999999999999994,,,1.0,cat_495297,Warme Getränke,felix,Checkout
39,1,Cappuccino,7,2021-10-29,7.0200000000000005,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495297,Warme Getränke,felix,Checkout
40,1,Cappuccino,1,2021-10-30,2.8,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495297,Warme Getränke,felix,Checkout
41,1,Cappuccino,2,2021-10-31,10.0,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,-0.32,1.0,cat_495297,Warme Getränke,felix,Checkout
42,1,Cappuccino,5,2021-11-01,10.28,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495297,Warme Getränke,felix,Checkout
43,1,Cappuccino,5,2021-11-02,7.25,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495297,Warme Getränke,felix,Checkout
44,1,Cappuccino,2,2021-11-04,8.35,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495297,Warme Getränke,felix,Checkout
45,1,Cappuccino,7,2021-11-05,7.3999999999999995,0.0,,,,cat_177144,,,1.0,2.7999999999999994,0.0,,2.7999999999999994,,,1.0,cat_495297,Warme Getränke,felix,Checkout
46,1,Cappuccino,6,2021-11-06,6.36,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495297,Warme Getränke,felix,Checkout
47,1,Cappuccino,3,2021-11-07,7.466666666666668,0.0,,,,cat_177144,,,1.0,2.7999999999999994,0.0,,2.7999999999999994,,,1.0,cat_495297,Warme Getränke,felix,Checkout
48,1,Cappuccino,3,2021-11-08,16.4,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495297,Warme Getränke,felix,Checkout
49,1,Cappuccino,5,2021-11-09,7.0,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495297,Warme Getränke,felix,Checkout
50,1,Dessert,1,2021-10-09,20.1,0.0,,,,cat_177144,,,1.0,3.5,0.0,,3.5,,,1.0,cat_495297,Süße Speisen,felix,Checkout
51,1,Dessert,12,2021-10-10,22.0,0.0,,,,cat_177144,,,1.0,3.5,0.0,,3.5,,,1.0,cat_495299,Süße Speisen,felix,Checkout
52,1,Dessert,3,2021-10-16,7.7,0.0,,,,cat_177144,,,1.0,3.0,0.0,,3.0,,,1.0,cat_495297,Essen,felix,Checkout
53,1,Dessert,1,2021-10-21,8.0,0.0,,,,cat_177144,,,1.0,3.0,0.0,,3.0,,,1.0,cat_495297,Essen,felix,Checkout
54,1,Dessert,1,2021-10-31,3.0,0.0,,,,cat_177144,,,1.0,3.0,0.0,,3.0,,,1.0,cat_495297,Essen,felix,Checkout
55,1,Dinnerle,3,2021-10-08,16.4,0.0,,,,cat_177144,,,1.0,8.0,0.0,,8.0,,,1.0,cat_495297,Deftige Speisen,felix,Checkout
56,1,Dinnerle,9,2021-10-09,16.583333333333332,0.0,,,,cat_177144,,,1.0,8.0,0.0,,8.0,,,1.0,cat_495297,Deftige Speisen,felix,Checkout
57,1,Dinnerle,7,2021-10-10,18.0,0.0,,,,cat_177144,,,1.0,8.0,0.0,,8.0,,,1.0,cat_495297,Deftige Speisen,felix,Checkout
58,1,Dinnerle,5,2021-10-11,18.525,0.0,,,,cat_177144,,,1.0,8.0,0.0,,8.0,,,1.0,cat_495297,Essen,felix,Checkout
59,1,Dinnerle,4,2021-10-12,10.666666666666666,0.0,,,,cat_177144,,,1.0,8.0,0.0,,8.0,,,1.0,cat_495297,Essen,felix,Checkout
60,1,Dinnerle,2,2021-10-13,21.3,0.0,,,,cat_177144,,,1.0,8.0,0.0,,8.0,,,1.0,cat_495297,Essen,felix,Checkout
61,1,Dinnerle,1,2021-10-14,8.0,0.0,,,,cat_177144,,,1.0,8.0,0.0,,8.0,,,1.0,cat_495297,Essen,felix,Checkout
62,1,Dinnerle,5,2021-10-15,10.2,0.0,,,,cat_177144,,,1.0,8.0,0.0,,8.0,,,1.0,cat_495297,Essen,felix,Checkout
63,1,Dinnerle,5,2021-10-16,13.575,0.0,,,,cat_177144,,,1.0,8.0,0.0,,8.0,,,1.0,cat_495297,Essen,felix,Checkout
64,1,Dinnerle,2,2021-10-17,21.8,0.0,,,,cat_177144,,,1.0,8.0,0.0,,8.0,,,1.0,cat_495297,Essen,felix,Checkout
65,1,Dinnerle,2,2021-10-18,14.8,0.0,,,,cat_177144,,,1.0,8.0,0.0,,8.0,,,1.0,cat_495300,Essen,felix,Checkout
66,1,Dinnerle,4,2021-10-19,11.65,0.0,,,,cat_177144,,,1.0,8.0,0.0,,8.0,,,1.0,cat_495297,Essen,felix,Checkout
67,1,Dinnerle,5,2021-10-20,16.075,0.0,,,,cat_177144,,,1.0,8.0,0.0,,8.0,,,1.0,cat_495297,Essen,felix,Checkout
68,1,Dinnerle,3,2021-10-21,11.6,0.0,,,,cat_177144,,,1.0,8.0,0.0,,8.0,,,1.0,cat_495297,Essen,felix,Checkout
69,1,Dinnerle,6,2021-10-22,17.625,0.0,,,,cat_177144,,,1.0,8.0,0.0,,8.0,,,1.0,cat_495297,Essen,felix,Checkout
70,1,Dinnerle,1,2021-10-23,10.5,0.0,,,,cat_177144,,,1.0,8.0,0.0,,8.0,,,1.0,cat_495297,Essen,felix,Checkout
71,1,Dinnerle,3,2021-10-24,15.5,0.0,,,,cat_177144,,,1.0,8.0,0.0,,8.0,,,1.0,cat_495297,Essen,felix,Checkout
72,1,Dinnerle,5,2021-10-25,19.766666666666666,0.0,,,,cat_177144,,,1.0,8.0,0.0,,8.0,,,1.0,cat_495297,Essen,felix,Checkout
73,1,Dinnerle,7,2021-10-26,17.366666666666667,0.0,,,,cat_177144,,,1.0,8.0,0.0,,8.0,,,1.0,cat_495297,Essen,felix,Checkout
74,1,Dinnerle,11,2021-10-27,10.33,0.0,,,,cat_177144,,,1.0,8.0,0.0,,8.0,,,1.0,cat_495297,Essen,felix,Checkout
75,1,Dinnerle,6,2021-10-28,12.0,0.0,,,,cat_177144,,,1.0,8.0,0.0,,8.0,,,1.0,cat_495297,Essen,felix,Checkout
76,1,Dinnerle,8,2021-10-29,15.16,0.0,,,,cat_177144,,,1.0,8.0,0.0,,8.0,,,1.0,cat_495297,Essen,felix,Checkout
77,1,Dinnerle,3,2021-10-30,28.0,0.0,,,,cat_177144,,,1.0,8.0,0.0,,8.0,,,1.0,cat_495297,Essen,felix,Checkout
78,1,Dinnerle,3,2021-10-31,26.65,0.0,,,,cat_177144,,,1.0,8.0,0.0,,8.0,,,1.0,cat_495297,Essen,felix,Checkout
79,1,Dinnerle,8,2021-11-01,15.016666666666666,0.0,,,,cat_177144,,,1.0,8.0,0.0,,8.0,,,1.0,cat_495297,Essen,felix,Checkout
80,1,Dinnerle,4,2021-11-02,12.666666666666666,0.0,,,,cat_177144,,,1.0,8.0,0.0,,8.0,,,1.0,cat_495297,Essen,felix,Checkout
81,1,Dinnerle,1,2021-11-03,11.0,0.0,,,,cat_177144,,,1.0,8.0,0.0,,8.0,,,1.0,cat_495297,Essen,felix,Checkout
82,1,Dinnerle,4,2021-11-04,10.825,0.0,,,,cat_177144,,,1.0,8.0,0.0,,8.0,,,1.0,cat_495297,Essen,felix,Checkout
83,1,Dinnerle,7,2021-11-05,10.87142857142857,0.0,,,,cat_177144,,,1.0,8.0,0.0,,8.0,,,1.0,cat_495297,Essen,felix,Checkout
84,1,Dinnerle,7,2021-11-06,19.259999999999998,0.0,,,,cat_177144,,,1.0,8.0,0.0,,8.0,,,1.0,cat_495297,Essen,felix,Checkout
85,1,Dinnerle,3,2021-11-07,17.0,0.0,,,,cat_177144,,,1.0,8.0,0.0,,8.0,,,1.0,cat_495297,Essen,felix,Checkout
86,1,Dinnerle,6,2021-11-08,16.54,0.0,,,,cat_177144,,,1.0,8.0,0.0,,8.0,,,1.0,cat_495297,Essen,felix,Checkout
87,1,Dinnerle,7,2021-11-09,13.36,0.0,,,,cat_177144,,,1.0,8.0,0.0,,8.0,,,1.0,cat_495297,Essen,felix,Checkout
88,1,Dinnerle Brot ohne Belag,1,2021-11-03,3.0,0.0,,,,cat_177144,,,1.0,3.0,0.0,,3.0,,,1.0,cat_495297,Essen,felix,Checkout
89,1,Espresso,1,2021-10-08,9.0,0.0,,,,cat_177144,,,1.0,2.0,0.0,,2.0,,,1.0,cat_495297,Warme Getränke,felix,Checkout
90,1,Espresso,2,2021-10-09,19.3,0.0,,,,cat_177144,,,1.0,2.0,0.0,,2.0,,,1.0,cat_495300,Warme Getränke,felix,Checkout
91,1,Espresso,6,2021-10-10,7.266666666666667,0.0,,,,cat_177144,,,1.0,2.0,0.0,,2.0,,,1.0,cat_495300,Warme Getränke,felix,Checkout
92,1,Espresso,3,2021-10-11,12.766666666666666,0.0,,,,cat_177144,,,1.0,2.0,0.0,,2.0,,,1.0,cat_495300,Warme Getränke,felix,Checkout
93,1,Espresso,2,2021-10-14,2.0,0.0,,,,cat_177144,,,1.0,2.0,0.0,,2.0,,,1.0,cat_495297,Warme Getränke,felix,Checkout
94,1,Espresso,2,2021-10-15,4.0,0.0,,,,cat_177144,,,1.0,2.0,0.0,,2.0,,,1.0,cat_495299,Warme Getränke,felix,Checkout
95,1,Espresso,1,2021-10-17,7.8,0.0,,,,cat_177144,,,1.0,2.0,0.0,,2.0,,,1.0,cat_495297,Warme Getränke,felix,Checkout
96,1,Espresso,1,2021-10-21,13.0,0.0,,,,cat_177144,,,1.0,2.0,0.0,,2.0,,,1.0,cat_495297,Warme Getränke,felix,Checkout
97,1,Espresso,3,2021-10-24,4.4,0.0,,,,cat_177144,,,1.0,2.0,0.0,,2.0,,,1.0,cat_495297,Warme Getränke,felix,Checkout
98,1,Espresso,2,2021-10-25,6.0,0.0,,,,cat_177144,,,1.0,2.0,0.0,,2.0,,,1.0,cat_495297,Warme Getränke,felix,Checkout
99,1,Espresso,5,2021-10-26,19.0,0.0,,,,cat_177144,,,1.0,2.0,0.0,,2.0,,,1.0,cat_495297,Warme Getränke,felix,Checkout
100,1,Espresso,3,2021-10-29,4.766666666666667,0.0,,,,cat_177144,,,1.0,2.0,0.0,,2.0,,,1.0,cat_495297,Warme Getränke,felix,Checkout
101,1,Espresso,1,2021-10-30,2.0,0.0,,,,cat_177144,,,1.0,2.0,0.0,,2.0,,,1.0,cat_495297,Warme Getränke,felix,Checkout
102,1,Espresso,5,2021-11-01,5.0,0.0,,,,cat_177144,,,1.0,2.0,0.0,,2.0,,,1.0,cat_495299,Warme Getränke,felix,Checkout
103,1,Espresso,4,2021-11-06,7.4,0.0,,,,cat_177144,,,1.0,2.0,0.0,,2.0,,,1.0,cat_495297,Warme Getränke,felix,Checkout
104,1,Espresso,1,2021-11-07,11.3,0.0,,,,cat_177144,,,1.0,2.0,0.0,,2.0,,,1.0,cat_495297,Warme Getränke,felix,Checkout
105,1,Espresso,2,2021-11-08,5.0,0.0,,,,cat_177144,,,1.0,2.0,0.0,,2.0,,,1.0,cat_495297,Warme Getränke,felix,Checkout
106,1,Espresso,2,2021-11-09,8.9,0.0,,,,cat_177144,,,1.0,2.0,0.0,,2.0,,,1.0,cat_495297,Warme Getränke,felix,Checkout
107,1,Kaffee Creme,1,2021-10-08,21.8,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495297,Warme Getränke,felix,Checkout
108,1,Kaffee Creme,6,2021-10-09,15.220000000000002,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495297,Warme Getränke,felix,Checkout
109,1,Kaffee Creme,3,2021-10-10,4.3999999999999995,0.0,,,,cat_177144,,,1.0,2.7999999999999994,0.0,,2.7999999999999994,,,1.0,cat_495297,Warme Getränke,felix,Checkout
110,1,Kaffee Creme,1,2021-10-11,34.3,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495300,Warme Getränke,felix,Checkout
111,1,Kaffee Creme,3,2021-10-12,5.199999999999999,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495297,Warme Getränke,felix,Checkout
112,1,Kaffee Creme,2,2021-10-14,4.3,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495297,Warme Getränke,felix,Checkout
113,1,Kaffee Creme,6,2021-10-16,5.5600000000000005,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495297,Warme Getränke,felix,Checkout
114,1,Kaffee Creme,5,2021-10-17,10.2,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495297,Warme Getränke,felix,Checkout
115,1,Kaffee Creme,1,2021-10-18,19.6,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495300,Warme Getränke,felix,Checkout
116,1,Kaffee Creme,2,2021-10-19,11.100000000000001,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495300,Warme Getränke,felix,Checkout
117,1,Kaffee Creme,1,2021-10-20,23.3,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495297,Warme Getränke,felix,Checkout
118,1,Kaffee Creme,6,2021-10-21,13.9,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495299,Warme Getränke,felix,Checkout
119,1,Kaffee Creme,5,2021-10-22,13.65,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495297,Warme Getränke,felix,Checkout
120,1,Kaffee Creme,4,2021-10-23,8.166666666666666,0.0,,,,cat_177144,,,1.0,2.7999999999999994,0.0,,2.7999999999999994,,,1.0,cat_495297,Warme Getränke,felix,Checkout
121,1,Kaffee Creme,7,2021-10-24,8.4,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495297,Warme Getränke,felix,Checkout
122,1,Kaffee Creme,2,2021-10-25,21.45,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495297,Warme Getränke,felix,Checkout
123,1,Kaffee Creme,4,2021-10-26,15.625,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495297,Warme Getränke,felix,Checkout
124,1,Kaffee Creme,2,2021-10-27,5.55,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495297,Warme Getränke,felix,Checkout
125,1,Kaffee Creme,2,2021-10-28,6.3,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495299,Warme Getränke,felix,Checkout
126,1,Kaffee Creme,1,2021-10-29,2.8,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495297,Warme Getränke,felix,Checkout
127,1,Kaffee Creme,1,2021-10-31,13.3,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495297,Warme Getränke,felix,Checkout
128,1,Kaffee Creme,4,2021-11-01,12.4,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495297,Warme Getränke,felix,Checkout
129,1,Kaffee Creme,3,2021-11-03,8.4,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495297,Warme Getränke,felix,Checkout
130,1,Kaffee Creme,3,2021-11-04,10.166666666666666,0.0,,,,cat_177144,,,1.0,2.7999999999999994,0.0,,2.7999999999999994,,,1.0,cat_495297,Warme Getränke,felix,Checkout
131,1,Kaffee Creme,3,2021-11-05,9.566666666666668,0.0,,,,cat_177144,,,1.0,2.7999999999999994,0.0,,2.7999999999999994,,,1.0,cat_495297,Warme Getränke,felix,Checkout
132,1,Kaffee Creme,1,2021-11-06,2.8,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495297,Warme Getränke,felix,Checkout
133,1,Kaffee Creme,1,2021-11-07,12.3,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495297,Warme Getränke,felix,Checkout
134,1,Kaffee Creme,3,2021-11-08,5.466666666666666,0.0,,,,cat_177144,,,1.0,2.7999999999999994,0.0,,2.7999999999999994,,,1.0,cat_495297,Warme Getränke,felix,Checkout
135,1,Kaffee Creme,1,2021-11-09,4.8,0.0,,,,cat_177144,,,1.0,2.8,0.0,,2.8,,,1.0,cat_495297,Warme Getränke,felix,Checkout
136,1,Kuchen,4,2021-10-09,9.425,0.0,,,,cat_177144,,,1.0,3.0,0.0,,3.0,,,1.0,cat_495297,Süße Speisen,felix,Checkout
137,1,Kuchen,6,2021-10-10,11.15,0.0,,,,cat_177144,,,1.0,3.0,0.0,,3.0,,,1.0,cat_495297,Süße Speisen,felix,Checkout
138,1,"Kuchen 2,50€",3,2021-10-11,3.75,0.0,,,,cat_177144,,,1.0,2.5,0.0,,2.5,,,1.0,cat_495297,Essen,felix,Checkout
139,1,"Kuchen 2,50€",2,2021-10-13,11.9,0.0,,,,cat_177144,,,1.0,2.5,0.0,,2.5,,,1.0,cat_495297,Essen,felix,Checkout
140,1,"Kuchen 2,50€",1,2021-10-15,2.5,0.0,,,,cat_177144,,,1.0,2.5,0.0,,2.5,,,1.0,cat_495297,Essen,felix,Checkout
141,1,"Kuchen 2,50€",6,2021-10-16,10.0,0.0,,,,cat_177144,,,1.0,2.5,0.0,,2.5,,,1.0,cat_495297,Essen,felix,Checkout
142,1,"Kuchen 2,50€",3,2021-10-17,9.45,0.0,,,,cat_177144,,,1.0,2.5,0.0,,2.5,,,1.0,cat_495297,Essen,felix,Checkout
143,1,"Kuchen 2,50€",1,2021-10-18,6.0,0.0,,,,cat_177144,,,1.0,2.5,0.0,,2.5,,,1.0,cat_495297,Essen,felix,Checkout
144,1,"Kuchen 2,50€",4,2021-10-20,11.65,0.0,,,,cat_177144,,,1.0,2.5,0.0,,2.5,,,1.0,cat_495297,Essen,felix,Checkout
145,1,"Kuchen 2,50€",6,2021-10-22,7.279999999999999,0.0,,,,cat_177144,,,1.0,2.5,0.0,,2.5,,,1.0,cat_495297,Essen,felix,Checkout
146,1,"Kuchen 2,50€",5,2021-10-23,7.975,0.0,,,,cat_177144,,,1.0,2.5,0.0,,2.5,,,1.0,cat_495297,Essen,felix,Checkout
147,1,"Kuchen 2,50€",5,2021-10-24,6.766666666666667,0.0,,,,cat_177144,,,1.0,2.5,0.0,,2.5,,,1.0,cat_495297,Essen,felix,Checkout
148,1,"Kuchen 2,50€",1,2021-10-25,11.1,0.0,,,,cat_177144,,,1.0,2.5,0.0,,2.5,,,1.0,cat_495297,Essen,felix,Checkout
149,1,"Kuchen 2,50€",3,2021-10-26,10.766666666666666,0.0,,,,cat_177144,,,1.0,2.5,0.0,,2.5,,,1.0,cat_495297,Essen,felix,Checkout
150,1,"Kuchen 2,50€",2,2021-10-27,8.9,0.0,,,,cat_177144,,,1.0,2.5,0.0,,2.5,,,1.0,cat_495297,Essen,felix,Checkout
151,1,"Kuchen 2,50€",2,2021-10-29,6.3,0.0,,,,cat_177144,,,1.0,2.5,0.0,,2.5,,,1.0,cat_495297,Essen,felix,Checkout
152,1,"Kuchen 2,50€",1,2021-10-30,8.5,0.0,,,,cat_177144,,,1.0,2.5,0.0,,2.5,,,1.0,cat_495297,Essen,felix,Checkout
153,1,"Kuchen 2,50€",4,2021-10-31,21.099999999999998,0.0,,,,cat_177144,,,1.0,2.5,0.0,,2.5,,-0.28,1.0,cat_495297,Essen,felix,Checkout
154,1,"Kuchen 2,50€",2,2021-11-01,10.8,0.0,,,,cat_177144,,,1.0,2.5,0.0,,2.5,,,1.0,cat_495297,Essen,felix,Checkout
155,1,"Kuchen 2,50€",2,2021-11-04,9.3,0.0,,,,cat_177144,,,1.0,2.5,0.0,,2.5,,,1.0,cat_495297,Essen,felix,Checkout
156,1,"Kuchen 2,50€",1,2021-11-05,8.3,0.0,,,,cat_177144,,,1.0,2.5,0.0,,2.5,,,1.0,cat_495297,Essen,felix,Checkout
157,1,"Kuchen 2,50€",3,2021-11-07,9.766666666666667,0.0,,,,cat_177144,,,1.0,2.5,0.0,,2.5,,,1.0,cat_495297,Essen,felix,Checkout
158,1,"Kuchen 2,50€",1,2021-11-08,37.5,0.0,,,,cat_177144,,,1.0,2.5,0.0,,2.5,,,1.0,cat_495300,Essen,felix,Checkout
159,1,"Kuchen 3,00€",2,2021-10-11,34.3,0.0,,,,cat_177144,,,1.0,3.0,0.0,,3.0,,,1.0,cat_495300,Essen,felix,Checkout
160,1,"Kuchen 3,00€",2,2021-10-15,6.0,0.0,,,,cat_177144,,,1.0,3.0,0.0,,3.0,,,1.0,cat_495297,Essen,felix,Checkout
