Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"50.0826,8.2493","05/01/2018 00:00:00",10.1,10.1,10.1,3.7,64.52,,23.2,51.8,238.0,,0.0,,0.0,10.0,40.4,1007.3,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Partially cloudy"
"50.0826,8.2493","05/01/2018 01:00:00",9.1,9.1,9.1,3.2,66.76,,22.7,,257.0,6.0,0.0,,0.0,10.0,45.8,1008.0,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Partially cloudy"
"50.0826,8.2493","05/01/2018 02:00:00",7.2,7.2,7.2,1.1,65.42,,25.1,,248.0,3.4,0.0,,0.0,10.0,27.6,1009.1,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Partially cloudy"
"50.0826,8.2493","05/01/2018 03:00:00",7.7,7.7,7.7,1.7,66.01,,20.7,35.3,265.0,4.4,0.0,,0.0,10.0,46.5,1009.4,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Partially cloudy"
"50.0826,8.2493","05/01/2018 04:00:00",7.1,7.1,7.1,1.1,65.33,,27.4,37.1,238.0,3.1,0.0,,0.0,10.0,51.1,1009.4,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Partially cloudy"
"50.0826,8.2493","05/01/2018 05:00:00",7.1,7.1,7.1,1.8,69.31,,17.1,,228.0,4.0,0.0,,0.0,10.0,51.1,1009.8,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Partially cloudy"
"50.0826,8.2493","05/01/2018 06:00:00",6.9,6.9,6.9,1.7,69.62,,24.0,35.3,247.0,3.1,0.0,,0.0,10.0,51.1,1010.5,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Partially cloudy"
"50.0826,8.2493","05/01/2018 07:00:00",6.8,6.8,6.8,1.7,69.84,,18.9,,228.0,3.5,0.0,,0.0,10.0,51.1,1011.1,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Partially cloudy"
"50.0826,8.2493","05/01/2018 08:00:00",6.8,6.8,6.8,2.1,72.17,,24.3,,247.0,2.9,0.0,,0.0,10.0,51.1,1012.2,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Partially cloudy"
"50.0826,8.2493","05/01/2018 09:00:00",8.8,8.8,8.8,2.9,66.7,,24.1,31.7,247.0,5.4,0.0,,0.0,10.0,48.3,1012.6,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Partially cloudy"
"50.0826,8.2493","05/01/2018 10:00:00",7.8,7.8,7.8,2.1,67.41,,24.4,,248.0,4.2,0.0,,0.0,10.0,51.1,1013.2,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Partially cloudy"
"50.0826,8.2493","05/01/2018 11:00:00",9.8,9.8,9.8,1.1,54.75,,24.3,29.5,258.0,6.8,0.0,,0.0,10.0,45.8,1013.6,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Partially cloudy"
"50.0826,8.2493","05/01/2018 12:00:00",9.9,9.9,9.9,0.7,52.7,,13.7,40.7,265.0,8.0,0.0,,0.0,10.0,52.9,1013.9,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Partially cloudy"
"50.0826,8.2493","05/01/2018 13:00:00",11.1,11.1,11.1,1.0,49.85,,17.1,,228.0,,0.0,,0.0,10.0,51.1,1013.9,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Partially cloudy"
"50.0826,8.2493","05/01/2018 14:00:00",12.1,12.1,12.1,0.7,45.71,,18.7,,257.0,,0.0,,0.0,10.0,40.4,1013.9,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Partially cloudy"
"50.0826,8.2493","05/01/2018 15:00:00",13.2,13.2,13.2,0.9,43.07,,23.8,,268.0,,0.0,,0.0,10.0,26.4,1014.6,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Partially cloudy"
"50.0826,8.2493","05/01/2018 16:00:00",12.8,12.8,12.8,1.0,44.4,,22.5,,258.0,,0.0,,0.0,10.0,47.8,1014.6,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Partially cloudy"
"50.0826,8.2493","05/01/2018 17:00:00",13.1,13.1,13.1,0.1,40.69,,16.7,,268.0,,0.0,,0.0,10.0,26.4,1014.6,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Partially cloudy"
"50.0826,8.2493","05/01/2018 18:00:00",12.3,12.3,12.3,0.9,45.69,,15.0,,259.0,,0.0,,0.0,10.0,26.4,1014.3,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Partially cloudy"
"50.0826,8.2493","05/01/2018 19:00:00",12.8,12.8,12.8,0.0,41.3,,13.4,,279.0,,0.0,,0.0,10.0,26.4,1014.3,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Partially cloudy"
"50.0826,8.2493","05/01/2018 20:00:00",12.0,12.0,12.0,0.1,44.16,,0.7,,347.0,,0.0,,0.0,10.0,47.8,1014.3,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Partially cloudy"
"50.0826,8.2493","05/01/2018 21:00:00",10.1,10.1,10.1,0.1,49.8,,0.4,,341.0,,0.0,,0.0,10.0,0.0,1014.7,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","05/01/2018 22:00:00",8.6,8.6,8.6,1.1,59.45,,5.3,,115.0,8.1,0.0,,0.0,10.0,0.0,1015.4,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","05/01/2018 23:00:00",6.1,6.1,6.1,1.1,70.34,,0.4,,343.0,,0.0,,0.0,10.0,0.0,1015.4,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","05/02/2018 00:00:00",5.1,5.1,5.1,1.0,74.87,,0.3,,341.0,,0.0,,0.0,10.0,0.0,1015.5,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","05/02/2018 01:00:00",4.1,4.1,4.1,0.9,79.86,,0.1,,338.0,,0.0,,0.0,10.0,0.0,1015.7,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","05/02/2018 02:00:00",3.8,3.8,3.8,0.8,81.08,,5.3,,10.0,2.6,0.0,,0.0,10.0,0.0,1015.4,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","05/02/2018 03:00:00",3.1,3.1,3.1,0.2,81.55,,0.3,,10.0,,0.0,,0.0,10.0,47.8,1015.1,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Partially cloudy"
"50.0826,8.2493","05/02/2018 04:00:00",2.1,2.1,2.1,0.1,86.48,,0.7,,1.0,,0.0,,0.0,10.0,47.8,1015.1,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Partially cloudy"
"50.0826,8.2493","05/02/2018 05:00:00",2.3,2.3,2.3,0.2,86.16,,0.8,,9.0,,0.0,,0.0,10.0,40.4,1015.1,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Partially cloudy"
"50.0826,8.2493","05/02/2018 06:00:00",2.8,2.8,2.8,0.1,82.78,,5.7,,351.0,1.3,0.0,,0.0,10.0,47.8,1015.1,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Partially cloudy"
"50.0826,8.2493","05/02/2018 07:00:00",2.9,2.9,2.9,0.1,81.91,,0.8,,3.0,,0.0,,0.0,10.0,26.4,1015.1,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Partially cloudy"
"50.0826,8.2493","05/02/2018 08:00:00",5.1,5.1,5.1,2.1,80.92,,0.7,,4.0,,0.0,,0.0,10.0,6.7,1015.4,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","05/02/2018 09:00:00",8.8,8.8,8.8,3.1,67.26,,0.6,,7.0,,0.0,,0.0,10.0,6.7,1015.3,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","05/02/2018 10:00:00",11.0,11.0,11.0,2.8,56.92,,9.2,,115.0,,0.0,,0.0,10.0,0.0,1014.6,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
