Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"50.0826,8.2493","04/20/2020 00:00:00",11.1,11.1,11.1,-1.3,42.19,,24.0,,51.0,,0.0,,0.0,16.4,0.0,1017.8,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/20/2020 01:00:00",10.4,10.4,10.4,-2.3,41.04,,18.1,,42.0,,0.0,,0.0,13.7,0.0,1018.1,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/20/2020 02:00:00",9.7,9.7,9.7,-2.6,41.9,,16.7,,42.0,7.3,0.0,,0.0,13.7,0.0,1017.9,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/20/2020 03:00:00",9.4,9.4,9.4,-2.8,42.13,,18.5,,42.0,6.8,0.0,,0.0,13.7,0.0,1017.5,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/20/2020 04:00:00",8.9,8.9,8.9,-2.5,44.79,,19.8,,42.0,6.0,0.0,,0.0,13.7,0.0,1017.5,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/20/2020 05:00:00",8.6,8.6,8.6,-2.3,46.43,,19.8,,42.0,5.6,0.0,,0.0,13.7,0.0,1017.8,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/20/2020 06:00:00",8.2,8.2,8.2,-1.8,49.29,,19.9,,51.0,5.2,0.0,,0.0,16.4,1.2,1017.9,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/20/2020 07:00:00",8.0,8.0,8.0,-1.9,49.79,,21.7,,51.0,4.6,0.0,,0.0,13.3,1.2,1018.3,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/20/2020 08:00:00",8.6,8.6,8.6,-1.8,47.98,,26.2,,60.0,5.1,0.0,,0.0,10.0,0.0,1018.2,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/20/2020 09:00:00",9.7,9.7,9.7,-1.6,45.21,,31.4,,62.0,6.2,0.0,,0.0,10.0,0.0,1018.3,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/20/2020 10:00:00",11.2,11.2,11.2,-1.2,42.06,,28.4,,62.0,,0.0,,0.0,10.0,1.1,1017.9,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/20/2020 11:00:00",13.2,13.2,13.2,-2.0,34.98,,29.7,,62.0,,0.0,,0.0,13.3,1.1,1017.5,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/20/2020 12:00:00",14.5,14.5,14.5,-2.5,30.8,,23.6,,70.0,,0.0,,0.0,12.7,0.0,1017.5,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/20/2020 13:00:00",15.5,15.5,15.5,-2.8,28.17,,25.7,,60.0,,0.0,,0.0,12.9,0.0,1016.8,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/20/2020 14:00:00",16.9,16.9,16.9,-3.7,24.12,,34.8,,53.0,,0.0,,0.0,10.0,0.0,1016.1,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/20/2020 15:00:00",18.0,18.0,18.0,-3.5,22.93,,32.1,,72.0,,0.0,,0.0,10.0,1.1,1015.7,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/20/2020 16:00:00",18.6,18.6,18.6,-3.9,21.41,,34.8,,63.0,,0.0,,0.0,10.0,1.1,1015.0,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/20/2020 17:00:00",18.9,18.9,18.9,-3.3,21.89,,32.2,,79.0,,0.0,,0.0,13.0,1.1,1014.0,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/20/2020 18:00:00",18.6,18.6,18.6,-2.4,23.87,,31.5,,69.0,,0.0,,0.0,10.0,1.1,1014.0,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/20/2020 19:00:00",17.6,17.6,17.6,-1.9,26.47,,34.6,,61.0,,0.0,,0.0,10.0,1.1,1014.4,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/20/2020 20:00:00",15.7,15.7,15.7,-1.2,31.3,,25.2,,52.0,,0.0,,0.0,10.0,1.1,1014.8,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/20/2020 21:00:00",14.1,14.1,14.1,-1.7,33.59,,24.1,,53.0,,0.0,,0.0,10.0,1.1,1015.8,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/20/2020 22:00:00",13.0,13.0,13.0,-2.1,35.04,,25.3,,53.0,,0.0,,0.0,10.0,1.1,1016.8,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/20/2020 23:00:00",12.0,12.0,12.0,-2.5,36.28,,26.4,,53.0,,0.0,,0.0,10.0,0.0,1016.8,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/21/2020 00:00:00",11.2,11.2,11.2,-2.9,37.11,,21.5,,42.0,,0.0,,0.0,10.0,0.0,1016.8,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/21/2020 01:00:00",10.6,10.6,10.6,-3.0,38.29,,21.5,,42.0,,0.0,,0.0,10.0,0.0,1017.1,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/21/2020 02:00:00",10.4,10.4,10.4,-2.9,39.23,,19.4,,51.0,,0.0,,0.0,10.0,0.0,1016.8,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/21/2020 03:00:00",9.9,9.9,9.9,-2.7,41.13,,22.8,,42.0,7.0,0.0,,0.0,13.4,0.0,1016.4,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/21/2020 04:00:00",9.5,9.5,9.5,-2.4,43.16,,19.6,,42.0,6.8,0.0,,0.0,10.0,0.0,1016.0,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/21/2020 05:00:00",9.2,9.2,9.2,-2.4,44.13,,20.0,,50.0,6.4,0.0,,0.0,13.4,0.0,1015.8,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/21/2020 06:00:00",8.7,8.7,8.7,-2.3,45.72,,23.8,,42.0,5.4,0.0,,0.0,10.0,1.1,1015.5,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/21/2020 07:00:00",8.6,8.6,8.6,-2.5,45.45,,23.6,,76.0,5.3,0.0,,0.0,13.2,1.1,1015.8,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/21/2020 08:00:00",9.4,9.4,9.4,-2.4,43.44,,26.5,,68.0,6.1,0.0,,0.0,13.6,1.1,1016.2,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/21/2020 09:00:00",10.6,10.6,10.6,-2.2,40.79,,28.3,,68.0,,0.0,,0.0,12.9,1.1,1016.2,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/21/2020 10:00:00",12.0,12.0,12.0,-1.8,38.15,,23.5,,67.0,,0.0,,0.0,12.5,1.1,1016.2,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/21/2020 11:00:00",14.2,14.2,14.2,-1.0,35.07,,30.2,,79.0,,0.0,,0.0,12.9,1.1,1015.8,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/21/2020 12:00:00",16.5,16.5,16.5,-2.4,27.35,,30.3,,87.0,,0.0,,0.0,12.3,1.1,1015.7,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/21/2020 13:00:00",17.5,17.5,17.5,-3.0,24.53,,35.0,,88.0,,0.0,,0.0,10.0,1.1,1015.4,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","04/21/2020 14:00:00",18.8,18.8,18.8,-2.6,23.23,,24.3,,88.0,,0.0,,0.0,15.5,0.0,1015.0,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
